POSITION,GROUP,LEVEL,FIELD,TIME,CONTRACTOR,CONTRACTOR TYPE,OWNER,LABOR TYPE,UNION NUMBER,WAGE TYPE,BUILDING TYPE,CITY,STATE,DATE,TYPE,BILL RATE,BASE,FICA,FUTA,SUTA,WORK COMP,LIABILITY INS,TAX/INS,FRINGE BENEFITS,PER DIEM,SMALL TOOLS,OT,G&A (OH),PROFIT
ACCOUNT MANAGER,,,,REG,KND,GC/CM,META,GC PM,,,DATA CENTER,,,2022-01-01,SUPERVISION,,259.0,,,,,,,,,,,,
ACCOUNT MANAGER,,,,REG,MCA,GC/CM,META,GC PM,,,DATA CENTER,,,2021-01-01,SUPERVISION,,280.07,,,,,,,,,,,,
ACCOUNTANT,,MANAGER,,REG,HOFFMAN,GC/CM,AMAT,GC PM,,BURDENED,SEMICONDUCTOR,SUNNYVALE,CA,2022-01-01,SUPERVISION,,,,,,,,,,,,,,
ACCOUNTANT,,MANAGER,,REG,HOFFMAN,GC/CM,AMAT,GC PM,,BURDENED,SEMICONDUCTOR,SUNNYVALE,CA,2023-01-01,SUPERVISION,,,,,,,,,,,,,,
ACCOUNTANT,,MANAGER,,REG,HOFFMAN,GC/CM,AMAT,GC PM,,BURDENED,SEMICONDUCTOR,SUNNYVALE,CA,2024-01-01,SUPERVISION,,,,,,,,,,,,,,
ACCOUNTANT,,MANAGER,,REG,HOFFMAN,GC/CM,AMAT,GC PM,,BURDENED,SEMICONDUCTOR,SUNNYVALE,CA,2025-01-01,SUPERVISION,,,,,,,,,,,,,,
ACCOUNTANT,,,,REG,HOFFMAN,GC/CM,AMAT,GC PM,,BURDENED,SEMICONDUCTOR,SUNNYVALE,CA,2022-01-01,SUPERVISION,,,,,,,,,,,,,,
ACCOUNTANT,,,,REG,HOFFMAN,GC/CM,AMAT,GC PM,,BURDENED,SEMICONDUCTOR,SUNNYVALE,CA,2023-01-01,SUPERVISION,,,,,,,,,,,,,,
ACCOUNTANT,,,,REG,HOFFMAN,GC/CM,AMAT,GC PM,,BURDENED,SEMICONDUCTOR,SUNNYVALE,CA,2024-01-01,SUPERVISION,,,,,,,,,,,,,,
ACCOUNTANT,,,,REG,HOFFMAN,GC/CM,AMAT,GC PM,,BURDENED,SEMICONDUCTOR,SUNNYVALE,CA,2025-01-01,SUPERVISION,,,,,,,,,,,,,,
ACCOUNTANT,,,,REG,AWS CONSTRUCTION,GC/CM,AMAZON,GC PM,,,DATA CENTER,VA,VA,2021-01-01,SUPERVISION,,98.45875,,,,,,,,,,,,
ACCOUNTANT,,,,REG,AWS CONSTRUCTION,GC/CM,AMAZON,GC PM,,,DATA CENTER,VA,VA,2021-01-01,SUPERVISION,,84.73,,,,,,,,,,,,
ACCOUNTANT,,SENIOR,,REG,TRUBECK,GC/CM,ARCOA,GC PM,,BURDENED,MULTIFAMILY,PORTLAND,OR,2021-04-09,SUPERVISION,,90.0,,,,,,,,,,,,
ACCOUNTANT,,,,REG,TRUBECK,GC/CM,ARCOA,GC PM,,BURDENED,MULTIFAMILY,PORTLAND,OR,2021-04-09,SUPERVISION,,79.0,,,,,,,,,,,,
ACCOUNTANT,,SENIOR,MECHANICAL,REG,W.E. BOWERS,SUB,AWS,UNKNOWN,,BURDENED,DATA CENTER,WASHINGTON,DC,2020-03-16,SUPERVISION,,174.65,,,,,,,,,,,,
ACCOUNTANT,,,MECHANICAL,OT,W.E. BOWERS,SUB,AWS,UNKNOWN,,BURDENED,DATA CENTER,WASHINGTON,DC,2020-03-16,SUPERVISION,,72.91,,,,,,,,,,,,
ACCOUNTANT,,,MECHANICAL,REG,W.E. BOWERS,SUB,AWS,UNKNOWN,,BURDENED,DATA CENTER,WASHINGTON,DC,2020-03-16,SUPERVISION,,51.31,,,,,,,,,,,,
ACCOUNTANT,,,,REG,THE WALDINGER CORPORATION,SUB,FACEBOOK,GC PM,,BURDENED,DATA CENTER,ALTOONA,IA,2019-01-01,SUPERVISION,,45.0,,,,,,,,,,,,
ACCOUNTANT,,,,REG,THE WALDINGER CORPORATION,SUB,FACEBOOK,GC PM,,BURDENED,DATA CENTER,ALTOONA,IA,2017-08-08,SUPERVISION,,100.0,,,,,,,,,,,,
ACCOUNTANT,,,,REG,TURNER CONSTRUCTION,GC/CM,FACEBOOK,GC PM,,BURDENED,DATA CENTER,ALTOONA,IA,2016-01-01,SUPERVISION,,88.0,,,,,,,,,,,,
ACCOUNTANT,,,,REG,TURNER CONSTRUCTION,GC/CM,FACEBOOK,GC PM,,BURDENED,DATA CENTER,ALTOONA,IA,2017-08-09,SUPERVISION,,93.28,,,,,,,,,,,,
